kuji_id,kuji_name,grade,grade_name,name,image,thumbnail,url,rate,price,status
nagano-azarashi,나가노의 수족관 물범 인형 쿠지,A상,초 특대 인형,초 특대 인형,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-azarashi/A.webp,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-azarashi/thumbnail.webp,https://online-kuji.nagano-market.jp/store/lottery/nagano-azarashi,2,1100,end
nagano-azarashi,나가노의 수족관 물범 인형 쿠지,B상,인형 대,인형 대,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-azarashi/B.webp,,,8,1100,end
nagano-azarashi,나가노의 수족관 물범 인형 쿠지,C상,인형 소,인형 소,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-azarashi/C.webp,,,21,1100,end
nagano-azarashi,나가노의 수족관 물범 인형 쿠지,D상,마스코트,고양이 물범 마스코트,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-azarashi/D1.webp,,,23,1100,end
nagano-azarashi,나가노의 수족관 물범 인형 쿠지,D상,마스코트,노멀 물범 마스코트,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-azarashi/D2.webp,,,23,1100,end
nagano-azarashi,나가노의 수족관 물범 인형 쿠지,D상,마스코트,소금 물범 마스코트,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-azarashi/D3.webp,,,23,1100,end
nagano-acryliccharm,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),챰상,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),두더지고로케 멋쟁이,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm/1.webp,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm/thumbnail.webp,https://online-kuji.nagano-market.jp/store/lottery/nagano-acryliccharm4,6.666,300,end
nagano-acryliccharm,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),챰상,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),두더지고로케 인어,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm/2.webp,,,6.666,300,end
nagano-acryliccharm,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),챰상,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),두더지멘치,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm/3.webp,,,6.666,300,end
nagano-acryliccharm,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),챰상,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),두더지고로케 래퍼,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm/4.webp,,,6.666,300,end
nagano-acryliccharm,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),챰상,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),두더지고로케 외계인,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm/5.webp,,,6.666,300,end
nagano-acryliccharm,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),챰상,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),두더지고로케 장로,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm/6.webp,,,6.666,300,end
nagano-acryliccharm,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),챰상,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),두더지고로케 응급처치,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm/7.webp,,,6.666,300,end
nagano-acryliccharm,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),챰상,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),두더지고로케 동족상잔,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm/8.webp,,,6.666,300,end
nagano-acryliccharm,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),챰상,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),교니소,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm/9.webp,,,6.666,300,end
nagano-acryliccharm,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),챰상,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),두더지고로케 소스,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm/10.webp,,,6.666,300,end
nagano-acryliccharm,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),챰상,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),두더지고로케 문어,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm/11.webp,,,6.666,300,end
nagano-acryliccharm,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),챰상,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),두더지고로케 지갑,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm/12.webp,,,6.666,300,end
nagano-acryliccharm,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),챰상,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),두더지고로케 창,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm/13.webp,,,6.666,300,end
nagano-acryliccharm,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),챰상,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),딸기고로케,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm/14.webp,,,6.666,300,end
nagano-acryliccharm,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),챰상,나가노캐릭터즈 두더지고로케투성이 아크릴 챰 (15종),두더지고로케 물고기,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm/15.webp,,,6.666,300,end
nagano-toranui,나가노의 호랑이 인형 쿠지,A상,특대 인형,나가노의 호랑이 특대 인형,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-toranui/A.webp,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-toranui/thumbnail.webp,https://online-kuji.nagano-market.jp/store/lottery/nagano-toranui,2,1100,end
nagano-toranui,나가노의 호랑이 인형 쿠지,B상,인형L,나가노의 호랑이 인형L,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-toranui/B.webp,,,10,1100,end
nagano-toranui,나가노의 호랑이 인형 쿠지,C상,인형S,나가노의 호랑이 인형S,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-toranui/C.webp,,,20,1100,end
nagano-toranui,나가노의 호랑이 인형 쿠지,D상,마스코트,나가노의 호랑이 마스코트,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-toranui/D.webp,,,68,1100,end
omoide-keyholder,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),아크릴키홀더상,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),추억의 냄새,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/omoide-keyholder/1.webp,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/omoide-keyholder/thumbnail.webp,https://online-kuji.nagano-market.jp/store/lottery/omoide-keyholder2,10,300,end
omoide-keyholder,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),아크릴키홀더상,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),역시 해보고 싶어!!,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/omoide-keyholder/2.webp,,,10,300,end
omoide-keyholder,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),아크릴키홀더상,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),폰으로 검색,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/omoide-keyholder/3.webp,,,10,300,end
omoide-keyholder,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),아크릴키홀더상,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),아기곰 안기,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/omoide-keyholder/4.webp,,,10,300,end
omoide-keyholder,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),아크릴키홀더상,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),온천,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/omoide-keyholder/5.webp,,,10,300,end
omoide-keyholder,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),아크릴키홀더상,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),피자,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/omoide-keyholder/6.webp,,,10,300,end
omoide-keyholder,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),아크릴키홀더상,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),여행에서 돌아옴,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/omoide-keyholder/7.webp,,,10,300,end
omoide-keyholder,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),아크릴키홀더상,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),사무에,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/omoide-keyholder/8.webp,,,10,300,end
omoide-keyholder,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),아크릴키홀더상,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),편리한 존재,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/omoide-keyholder/9.webp,,,10,300,end
omoide-keyholder,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),아크릴키홀더상,나가노캐릭터즈 추억 스케치 미니 아크릴 키홀더 (10종),인형 촬영,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/omoide-keyholder/10.webp,,,10,300,end
nagano-acryliccharm-kuma,나가노캐릭터즈 미니 원화 아크릴 챰 농담곰 (8종),챰상,나가노캐릭터즈 미니 원화 아크릴 챰 농담곰 (8종),푸딩,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-kuma/1.webp,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-kuma/thumbnail.webp,https://online-kuji.nagano-market.jp/store/lottery/nagano-acryliccharm-kuma6,12.5,300,end
nagano-acryliccharm-kuma,나가노캐릭터즈 미니 원화 아크릴 챰 농담곰 (8종),챰상,나가노캐릭터즈 미니 원화 아크릴 챰 농담곰 (8종),당고,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-kuma/2.webp,,,12.5,300,end
nagano-acryliccharm-kuma,나가노캐릭터즈 미니 원화 아크릴 챰 농담곰 (8종),챰상,나가노캐릭터즈 미니 원화 아크릴 챰 농담곰 (8종),야키니쿠,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-kuma/3.webp,,,12.5,300,end
nagano-acryliccharm-kuma,나가노캐릭터즈 미니 원화 아크릴 챰 농담곰 (8종),챰상,나가노캐릭터즈 미니 원화 아크릴 챰 농담곰 (8종),온천,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-kuma/4.webp,,,12.5,300,end
nagano-acryliccharm-kuma,나가노캐릭터즈 미니 원화 아크릴 챰 농담곰 (8종),챰상,나가노캐릭터즈 미니 원화 아크릴 챰 농담곰 (8종),마음을 뫼니에르,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-kuma/5.webp,,,12.5,300,end
nagano-acryliccharm-kuma,나가노캐릭터즈 미니 원화 아크릴 챰 농담곰 (8종),챰상,나가노캐릭터즈 미니 원화 아크릴 챰 농담곰 (8종),귤 다이후쿠,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-kuma/6.webp,,,12.5,300,end
nagano-acryliccharm-kuma,나가노캐릭터즈 미니 원화 아크릴 챰 농담곰 (8종),챰상,나가노캐릭터즈 미니 원화 아크릴 챰 농담곰 (8종),임팔라,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-kuma/7.webp,,,12.5,300,end
nagano-acryliccharm-kuma,나가노캐릭터즈 미니 원화 아크릴 챰 농담곰 (8종),챰상,나가노캐릭터즈 미니 원화 아크릴 챰 농담곰 (8종),두더지고로케,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-kuma/8.webp,,,12.5,300,end
nagano-acryliccharm-chiikawa,나가노캐릭터즈 미니 원화 아크릴 챰 치이카와 (8종),챰상,나가노캐릭터즈 미니 원화 아크릴 챰 치이카와 (8종),기쁨이 없어,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-chiikawa/1.webp,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-chiikawa/thumbnail.webp,https://online-kuji.nagano-market.jp/store/lottery/nagano-acryliccharm-chiikawa6,12.5,300,end
nagano-acryliccharm-chiikawa,나가노캐릭터즈 미니 원화 아크릴 챰 치이카와 (8종),챰상,나가노캐릭터즈 미니 원화 아크릴 챰 치이카와 (8종),왁스,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-chiikawa/2.webp,,,12.5,300,end
nagano-acryliccharm-chiikawa,나가노캐릭터즈 미니 원화 아크릴 챰 치이카와 (8종),챰상,나가노캐릭터즈 미니 원화 아크릴 챰 치이카와 (8종),스시,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-chiikawa/3.webp,,,12.5,300,end
nagano-acryliccharm-chiikawa,나가노캐릭터즈 미니 원화 아크릴 챰 치이카와 (8종),챰상,나가노캐릭터즈 미니 원화 아크릴 챰 치이카와 (8종),모몽가 부딪혔다,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-chiikawa/4.webp,,,12.5,300,end
nagano-acryliccharm-chiikawa,나가노캐릭터즈 미니 원화 아크릴 챰 치이카와 (8종),챰상,나가노캐릭터즈 미니 원화 아크릴 챰 치이카와 (8종),이렇게 되어버렸어,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-chiikawa/5.webp,,,12.5,300,end
nagano-acryliccharm-chiikawa,나가노캐릭터즈 미니 원화 아크릴 챰 치이카와 (8종),챰상,나가노캐릭터즈 미니 원화 아크릴 챰 치이카와 (8종),엉망진창으로 만들어주마,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-chiikawa/6.webp,,,12.5,300,end
nagano-acryliccharm-chiikawa,나가노캐릭터즈 미니 원화 아크릴 챰 치이카와 (8종),챰상,나가노캐릭터즈 미니 원화 아크릴 챰 치이카와 (8종),얏!,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-chiikawa/7.webp,,,12.5,300,end
nagano-acryliccharm-chiikawa,나가노캐릭터즈 미니 원화 아크릴 챰 치이카와 (8종),챰상,나가노캐릭터즈 미니 원화 아크릴 챰 치이카와 (8종),로우 주문,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-chiikawa/8.webp,,,12.5,300,end
nagano-acryliccharm-yukai,나가노캐릭터즈 미니 아크릴 챰 왠지 매일 유쾌하네 (14종),챰상,나가노캐릭터즈 미니 아크릴 챰 왠지 매일 유쾌하네 (14종),풍덩,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-yukai/1.webp,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-yukai/thumbnail.webp,https://online-kuji.nagano-market.jp/store/lottery/nagano-acryliccharm-yukai5,7.142,300,end
nagano-acryliccharm-yukai,나가노캐릭터즈 미니 아크릴 챰 왠지 매일 유쾌하네 (14종),챰상,나가노캐릭터즈 미니 아크릴 챰 왠지 매일 유쾌하네 (14종),발로 물건을 집는다!!,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-yukai/2.webp,,,7.142,300,end
nagano-acryliccharm-yukai,나가노캐릭터즈 미니 아크릴 챰 왠지 매일 유쾌하네 (14종),챰상,나가노캐릭터즈 미니 아크릴 챰 왠지 매일 유쾌하네 (14종),탔음,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-yukai/3.webp,,,7.142,300,end
nagano-acryliccharm-yukai,나가노캐릭터즈 미니 아크릴 챰 왠지 매일 유쾌하네 (14종),챰상,나가노캐릭터즈 미니 아크릴 챰 왠지 매일 유쾌하네 (14종),무적감,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-yukai/4.webp,,,7.142,300,end
nagano-acryliccharm-yukai,나가노캐릭터즈 미니 아크릴 챰 왠지 매일 유쾌하네 (14종),챰상,나가노캐릭터즈 미니 아크릴 챰 왠지 매일 유쾌하네 (14종),초석잠,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-yukai/5.webp,,,7.142,300,end
nagano-acryliccharm-yukai,나가노캐릭터즈 미니 아크릴 챰 왠지 매일 유쾌하네 (14종),챰상,나가노캐릭터즈 미니 아크릴 챰 왠지 매일 유쾌하네 (14종),젤라틴,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/nagano/nagano-acryliccharm-yukai/6.webp,,,7.142,300,end
